,sub,scan_length
212,sub-0050290,9.466666666666667
213,sub-0050291,7.733333333333333
214,sub-0050292,6.933333333333334
215,sub-0050293,9.933333333333334
216,sub-0050294,9.766666666666667
217,sub-0050295,9.466666666666667
218,sub-0050297,4.566666666666666
219,sub-0050298,9.066666666666666
220,sub-0050299,2.566666666666667
221,sub-0050300,6.566666666666666
222,sub-0050301,9.933333333333334
223,sub-0050302,6.733333333333333
224,sub-0050303,1.0
225,sub-0050304,3.7
226,sub-0050305,4.333333333333333
227,sub-0050306,3.2666666666666666
228,sub-0050307,9.766666666666667
229,sub-0050309,3.7
230,sub-0050310,9.833333333333334
231,sub-0050311,4.666666666666667
232,sub-0050312,4.7
233,sub-0050313,3.2666666666666666
234,sub-0050314,9.8
235,sub-0050315,9.2
236,sub-0050316,5.466666666666667
237,sub-0050317,2.566666666666667
238,sub-0050318,9.4
239,sub-0050319,9.366666666666667
240,sub-0050320,8.533333333333333
241,sub-0050321,9.933333333333334
242,sub-0050322,3.6666666666666665
243,sub-0050323,1.3
244,sub-0050324,9.5
245,sub-0050325,8.666666666666666
246,sub-0050326,6.8
247,sub-0050327,9.933333333333334
248,sub-0050328,9.466666666666667
249,sub-0050329,10.0
250,sub-0050330,9.933333333333334
251,sub-0050331,9.9
252,sub-0050332,8.7
253,sub-0050333,6.366666666666666
254,sub-0050334,9.366666666666667
255,sub-0050335,10.0
256,sub-0050336,9.866666666666667
257,sub-0050337,9.066666666666666
258,sub-0050338,9.633333333333333
259,sub-0050339,9.933333333333334
260,sub-0050340,9.833333333333334
261,sub-0050341,9.866666666666667
262,sub-0050342,8.6
263,sub-0050343,7.033333333333333
264,sub-0050344,9.833333333333334
265,sub-0050345,9.666666666666666
266,sub-0050346,9.866666666666667
267,sub-0050347,9.866666666666667
268,sub-0050348,9.4
269,sub-0050349,9.666666666666666
270,sub-0050350,9.833333333333334
271,sub-0050351,10.0
272,sub-0050352,7.8
273,sub-0050353,9.833333333333334
274,sub-0050354,4.066666666666666
275,sub-0050355,9.1
276,sub-0050356,10.0
277,sub-0050357,9.866666666666667
278,sub-0050358,9.933333333333334
279,sub-0050359,4.633333333333334
280,sub-0050360,9.9
281,sub-0050361,10.0
282,sub-0050362,9.866666666666667
283,sub-0050363,7.966666666666667
284,sub-0050364,5.966666666666667
285,sub-0050365,9.8
286,sub-0050366,8.9
287,sub-0050367,8.533333333333333
288,sub-0050368,9.166666666666666
289,sub-0050369,9.766666666666667
290,sub-0050370,8.433333333333334
291,sub-0050371,5.633333333333334
292,sub-0050372,9.966666666666667
293,sub-0050373,9.066666666666666
294,sub-0050374,9.833333333333334
295,sub-0050375,10.0
296,sub-0050376,6.0
297,sub-0050377,9.466666666666667
298,sub-0050378,7.2
299,sub-0050379,9.2
300,sub-0050380,6.233333333333333
301,sub-0050381,6.0
302,sub-0050382,9.9
303,sub-0050383,4.533333333333333
304,sub-0050385,9.666666666666666
305,sub-0050386,9.733333333333333
306,sub-0050387,9.233333333333333
307,sub-0050388,8.5
308,sub-0050390,9.766666666666667
309,sub-0050391,8.433333333333334
310,sub-0050397,9.866666666666667
311,sub-0050399,8.9
312,sub-0050402,9.966666666666667
313,sub-0050403,5.5
314,sub-0050404,10.0
315,sub-0050405,9.633333333333333
316,sub-0050406,7.7
317,sub-0050407,9.766666666666667
318,sub-0050408,9.733333333333333
319,sub-0050410,7.6
320,sub-0050411,5.866666666666666
321,sub-0050412,9.333333333333334
322,sub-0050413,9.0
323,sub-0050414,9.9
324,sub-0050415,10.0
325,sub-0050416,8.866666666666667
326,sub-0050417,9.966666666666667
327,sub-0050418,8.933333333333334
328,sub-0050419,9.933333333333334
329,sub-0050421,9.2
330,sub-0050422,4.9
331,sub-0050423,7.3
332,sub-0050424,9.666666666666666
333,sub-0050425,9.566666666666666
334,sub-0050426,9.866666666666667
335,sub-0050427,9.9
336,sub-0050428,9.733333333333333
337,sub-0050432,7.633333333333334
338,sub-0050433,8.0
339,sub-0050434,7.466666666666667
340,sub-0050435,7.0
341,sub-0050436,7.633333333333334
342,sub-0050437,5.4
343,sub-0050438,7.1
344,sub-0050439,7.833333333333333
345,sub-0050440,7.266666666666667
346,sub-0050441,7.566666666666666
347,sub-0050442,8.0
348,sub-0050443,7.166666666666667
349,sub-0050444,5.866666666666666
350,sub-0050445,6.766666666666667
351,sub-0050446,7.433333333333334
352,sub-0050447,6.8
353,sub-0050448,5.833333333333333
354,sub-0050449,7.9
355,sub-0050450,5.7
356,sub-0050451,4.4
357,sub-0050452,7.9
358,sub-0050453,3.4
359,sub-0050454,7.833333333333333
360,sub-0050455,7.2
361,sub-0050456,6.366666666666666
362,sub-0050457,7.633333333333334
363,sub-0050458,5.533333333333333
364,sub-0050459,7.866666666666666
365,sub-0050460,7.933333333333334
366,sub-0050461,7.233333333333333
367,sub-0050462,7.8
368,sub-0050463,5.9
369,sub-0050464,7.666666666666667
370,sub-0050465,7.333333333333333
371,sub-0050466,7.166666666666667
372,sub-0050467,6.9
373,sub-0050468,8.0
374,sub-0050469,7.866666666666666
375,sub-0050470,4.666666666666667
376,sub-0050471,7.9
377,sub-0050472,8.0
378,sub-0050473,7.733333333333333
379,sub-0050474,6.5
380,sub-0050475,7.7
381,sub-0050476,7.266666666666667
382,sub-0050477,6.733333333333333
383,sub-0050478,3.3666666666666667
384,sub-0050479,3.9
385,sub-0050480,6.1
386,sub-0050481,3.1666666666666665
387,sub-0050482,7.7
388,sub-0050483,6.1
389,sub-0050484,8.0
390,sub-0050485,8.0
391,sub-0050486,6.066666666666666
392,sub-0050487,4.9
393,sub-0050488,5.933333333333334
394,sub-0050489,2.8333333333333335
395,sub-0050490,4.533333333333333
396,sub-0050491,7.933333333333334
397,sub-0050492,5.9
398,sub-0050493,7.133333333333334
399,sub-0050494,7.4
400,sub-0050495,7.633333333333334
401,sub-0050496,5.766666666666667
402,sub-0050497,7.033333333333333
403,sub-0050498,7.933333333333334
404,sub-0050499,7.7
405,sub-0050500,7.933333333333334
406,sub-0050501,5.733333333333333
407,sub-0050502,7.333333333333333
408,sub-0050503,7.333333333333333
409,sub-0050504,5.966666666666667
410,sub-0050505,8.0
411,sub-0050506,7.266666666666667
412,sub-0050507,5.866666666666666
413,sub-0050508,3.7333333333333334
414,sub-0050509,5.533333333333333
415,sub-0050510,3.8333333333333335
416,sub-0050511,4.933333333333334
417,sub-0050512,6.933333333333334
418,sub-0050513,7.733333333333333
419,sub-0050514,7.8
420,sub-0050515,7.166666666666667
421,sub-0050516,7.933333333333334
422,sub-0050517,8.0
423,sub-0050518,7.433333333333334
424,sub-0050519,7.2
425,sub-0050520,7.066666666666666
426,sub-0050521,6.4
427,sub-0050522,3.3333333333333335
428,sub-0050523,6.366666666666666
429,sub-0050524,6.766666666666667
430,sub-0050525,7.933333333333334
431,sub-0050526,7.466666666666667
432,sub-0050527,8.0
433,sub-0050528,7.7
434,sub-0050529,5.633333333333334
435,sub-0050530,6.866666666666666
436,sub-0050531,1.8
437,sub-0050532,6.9
438,sub-0050551,6.633333333333334
439,sub-0050552,6.3
440,sub-0050553,5.566666666666666
441,sub-0050554,6.633333333333334
442,sub-0050555,6.333333333333333
443,sub-0050556,6.466666666666667
444,sub-0050557,5.8
445,sub-0050558,6.333333333333333
446,sub-0050559,4.033333333333333
447,sub-0050560,6.166666666666667
448,sub-0050561,6.3
449,sub-0050562,5.766666666666667
450,sub-0050563,4.833333333333333
451,sub-0050564,5.7
452,sub-0050565,4.066666666666666
453,sub-0050566,6.633333333333334
454,sub-0050567,5.8
455,sub-0050568,6.633333333333334
456,sub-0050569,6.366666666666666
457,sub-0050570,6.466666666666667
458,sub-0050571,4.366666666666666
459,sub-0050572,6.3
460,sub-0050574,6.4
461,sub-0050575,6.1
462,sub-0050576,6.533333333333333
463,sub-0050577,5.266666666666667
464,sub-0050578,4.266666666666667
465,sub-0050601,4.8
466,sub-0050602,4.266666666666667
467,sub-0050603,6.233333333333333
468,sub-0050604,6.566666666666666
469,sub-0050605,6.533333333333333
470,sub-0050606,6.433333333333334
471,sub-0050607,5.566666666666666
472,sub-0050608,4.366666666666666
473,sub-0050609,4.933333333333334
474,sub-0050610,5.433333333333334
475,sub-0050612,5.966666666666667
476,sub-0050618,4.566666666666666
477,sub-0050619,5.933333333333334
478,sub-0050642,6.933333333333334
479,sub-0050643,6.35
480,sub-0050644,6.2
481,sub-0050645,3.4
482,sub-0050646,4.633333333333334
483,sub-0050647,6.733333333333333
484,sub-0050648,6.925
485,sub-0050649,7.933333333333334
486,sub-0050650,2.05
487,sub-0050651,6.925
488,sub-0050652,7.875
489,sub-0050653,7.566666666666666
490,sub-0050654,6.866666666666666
491,sub-0050655,3.625
492,sub-0050656,7.466666666666667
493,sub-0050657,8.0
494,sub-0050658,7.525
495,sub-0050659,4.8
496,sub-0050660,6.133333333333334
497,sub-0050661,7.1
498,sub-0050663,4.033333333333333
499,sub-0050664,7.2
500,sub-0050665,3.7666666666666666
501,sub-0050666,7.066666666666666
502,sub-0050667,4.25
503,sub-0050668,5.2
504,sub-0050669,8.0
505,sub-0050682,5.222170178095499
506,sub-0050683,6.386946618556976
507,sub-0050685,5.302605708440145
508,sub-0050686,6.859971928596496
509,sub-0050687,6.138054037094117
510,sub-0050688,6.861660091082255
511,sub-0050689,6.942041714986165
512,sub-0050690,5.942459138234456
513,sub-0050691,6.911949360370636
514,sub-0050692,6.917136979103089
515,sub-0050693,6.913236123323441
516,sub-0050694,6.0020280361175535
517,sub-0050695,6.18895609776179
518,sub-0050696,6.946249802907308
519,sub-0050697,6.471536006530126
520,sub-0050698,6.666679859161377
521,sub-0050699,6.415909695625305
522,sub-0050700,5.137388378381729
523,sub-0050701,4.258219617605209
524,sub-0050703,6.08276144862175
525,sub-0050704,6.9429998596509295
526,sub-0050705,5.833765029907227
527,sub-0050706,6.889935779571533
528,sub-0050707,6.165457975864411
529,sub-0050708,6.935500105222066
530,sub-0050709,6.581055545806885
531,sub-0050710,6.914148879051209
532,sub-0050711,6.805936535199483
533,sub-0050722,6.827894449234009
534,sub-0050723,6.083098717530569
535,sub-0050724,6.794558576742808
536,sub-0050725,5.008003028233846
537,sub-0050726,6.521529197692871
538,sub-0050727,5.064998801549276
539,sub-0050728,6.410451545317968
540,sub-0050730,5.8610145330429075
541,sub-0050731,6.715693211555481
542,sub-0050732,5.311553059021632
543,sub-0050733,6.715042630831401
544,sub-0050734,6.5490461985270185
545,sub-0050735,6.852687519788742
546,sub-0050736,6.606639862060547
547,sub-0050737,3.989989032347997
548,sub-0050738,6.329753299554189
549,sub-0050739,6.770657765865326
550,sub-0050740,5.170407438278199
551,sub-0050741,6.660565769672393
552,sub-0050742,5.532625591754913
553,sub-0050743,6.468884338935216
554,sub-0050744,3.3297585606575013
555,sub-0050745,6.7702481865882875
556,sub-0050746,6.055976827939351
557,sub-0050747,5.2556515296300255
558,sub-0050748,6.581411057710648
559,sub-0050749,6.0527868668238325
560,sub-0050750,2.8346630314985912
561,sub-0050751,2.6691812654336293
562,sub-0050752,5.942736196517944
563,sub-0050753,6.630552885929744
564,sub-0050754,6.8531441450119015
565,sub-0050755,6.660082074006398
566,sub-0050756,5.833694934844971
567,sub-0050757,6.027138684193293
568,sub-0050772,6.041666666666667
569,sub-0050773,6.125
570,sub-0050774,6.5
571,sub-0050775,4.666666666666667
572,sub-0050777,6.166666666666667
573,sub-0050778,5.291666666666667
574,sub-0050779,5.416666666666667
575,sub-0050780,5.666666666666667
576,sub-0050781,5.291666666666667
577,sub-0050782,5.5
578,sub-0050783,6.416666666666667
579,sub-0050784,4.708333333333333
580,sub-0050785,4.083333333333333
581,sub-0050786,4.541666666666667
582,sub-0050787,5.375
583,sub-0050788,5.75
584,sub-0050789,2.875
585,sub-0050790,5.958333333333333
586,sub-0050791,5.25
587,sub-0050792,4.083333333333333
588,sub-0050793,3.25
589,sub-0050794,2.4166666666666665
590,sub-0050795,5.416666666666667
591,sub-0050796,2.7916666666666665
592,sub-0050797,3.6666666666666665
593,sub-0050798,5.208333333333333
594,sub-0050799,6.375
595,sub-0050800,3.375
596,sub-0050801,4.041666666666667
597,sub-0050803,5.75
598,sub-0050804,4.958333333333333
599,sub-0050805,4.416666666666667
600,sub-0050807,3.0
601,sub-0050808,4.416666666666667
602,sub-0050809,5.75
603,sub-0050810,6.375
604,sub-0050811,6.291666666666667
605,sub-0050812,5.208333333333333
606,sub-0050813,5.916666666666667
607,sub-0050814,6.291666666666667
608,sub-0050815,3.6666666666666665
609,sub-0050816,4.833333333333333
610,sub-0050817,5.208333333333333
611,sub-0050818,6.458333333333333
612,sub-0050819,6.416666666666667
613,sub-0050820,5.875
614,sub-0050821,3.625
615,sub-0050822,5.291666666666667
616,sub-0050823,5.333333333333333
617,sub-0050824,6.041666666666667
618,sub-0050826,2.125
619,sub-0050952,3.933333333333333
620,sub-0050953,5.866666666666666
621,sub-0050954,5.866666666666666
622,sub-0050955,5.5
623,sub-0050956,5.966666666666667
624,sub-0050957,5.233333333333333
625,sub-0050958,4.966666666666667
626,sub-0050959,5.966666666666667
627,sub-0050960,5.6
628,sub-0050961,5.8
629,sub-0050962,5.7
630,sub-0050964,5.333333333333333
631,sub-0050965,5.033333333333333
632,sub-0050966,5.966666666666667
633,sub-0050967,5.366666666666666
634,sub-0050968,5.933333333333334
635,sub-0050969,4.233333333333333
636,sub-0050970,5.9
637,sub-0050971,5.366666666666666
638,sub-0050972,5.4
639,sub-0050973,5.633333333333334
640,sub-0050974,5.966666666666667
641,sub-0050975,4.866666666666666
642,sub-0050976,5.9
643,sub-0050977,5.7
644,sub-0050978,5.933333333333334
645,sub-0050979,5.1
646,sub-0050980,4.733333333333333
647,sub-0050981,5.7
648,sub-0050982,5.933333333333334
649,sub-0050983,5.533333333333333
650,sub-0050984,4.766666666666667
651,sub-0050985,5.9
652,sub-0050986,5.8
653,sub-0050987,5.6
654,sub-0050988,5.933333333333334
655,sub-0050989,5.733333333333333
656,sub-0050990,5.366666666666666
657,sub-0050991,5.933333333333334
658,sub-0050992,5.366666666666666
659,sub-0050993,5.066666666666666
660,sub-0050994,5.966666666666667
661,sub-0050995,5.1
662,sub-0050996,5.733333333333333
663,sub-0050997,4.433333333333334
664,sub-0050998,4.833333333333333
665,sub-0050999,5.5
666,sub-0051000,5.333333333333333
667,sub-0051001,4.966666666666667
668,sub-0051002,5.1
669,sub-0051003,5.7
670,sub-0051006,5.966666666666667
671,sub-0051007,5.533333333333333
672,sub-0051008,4.833333333333333
673,sub-0051009,5.6
674,sub-0051010,5.8
675,sub-0051011,4.833333333333333
676,sub-0051012,4.333333333333333
677,sub-0051013,3.466666666666667
678,sub-0051014,5.966666666666667
679,sub-0051015,5.966666666666667
680,sub-0051016,5.966666666666667
681,sub-0051017,5.566666666666666
682,sub-0051018,5.966666666666667
683,sub-0051019,5.966666666666667
684,sub-0051020,5.166666666666667
685,sub-0051021,5.466666666666667
686,sub-0051023,5.966666666666667
687,sub-0051024,5.966666666666667
688,sub-0051025,5.966666666666667
689,sub-0051026,5.966666666666667
690,sub-0051027,5.9
691,sub-0051028,5.966666666666667
692,sub-0051029,5.666666666666667
693,sub-0051030,3.1666666666666665
694,sub-0051032,5.533333333333333
695,sub-0051033,3.5
696,sub-0051034,3.1666666666666665
697,sub-0051035,4.7
698,sub-0051036,5.833333333333333
699,sub-0051038,5.933333333333334
700,sub-0051039,5.966666666666667
701,sub-0051040,5.966666666666667
702,sub-0051041,5.8
703,sub-0051042,5.866666666666666
704,sub-0051044,5.8
705,sub-0051045,4.933333333333334
706,sub-0051046,5.966666666666667
707,sub-0051047,5.966666666666667
708,sub-0051048,5.933333333333334
709,sub-0051049,5.933333333333334
710,sub-0051050,5.966666666666667
711,sub-0051051,5.966666666666667
712,sub-0051052,5.9
713,sub-0051053,5.933333333333334
714,sub-0051054,5.466666666666667
715,sub-0051055,5.933333333333334
716,sub-0051056,5.966666666666667
717,sub-0051057,5.966666666666667
718,sub-0051058,5.933333333333334
719,sub-0051059,5.933333333333334
720,sub-0051060,5.033333333333333
721,sub-0051061,5.966666666666667
722,sub-0051062,5.866666666666666
723,sub-0051063,5.8
724,sub-0051064,5.966666666666667
725,sub-0051065,5.8
726,sub-0051066,5.633333333333334
727,sub-0051067,5.7
728,sub-0051068,5.633333333333334
729,sub-0051069,5.966666666666667
730,sub-0051070,5.5
731,sub-0051071,5.8
732,sub-0051072,5.966666666666667
733,sub-0051073,5.666666666666667
734,sub-0051074,5.966666666666667
735,sub-0051075,5.366666666666666
736,sub-0051076,5.966666666666667
737,sub-0051077,3.966666666666667
738,sub-0051078,5.633333333333334
739,sub-0051079,5.733333333333333
740,sub-0051080,5.9
741,sub-0051081,5.966666666666667
742,sub-0051082,5.2
743,sub-0051083,5.633333333333334
744,sub-0051084,5.166666666666667
745,sub-0051085,5.966666666666667
746,sub-0051086,5.766666666666667
747,sub-0051087,4.133333333333334
748,sub-0051088,5.866666666666666
749,sub-0051089,5.166666666666667
750,sub-0051090,5.833333333333333
751,sub-0051091,5.433333333333334
752,sub-0051093,5.7
753,sub-0051094,5.233333333333333
754,sub-0051095,5.1
755,sub-0051096,5.966666666666667
756,sub-0051097,5.7
757,sub-0051098,5.666666666666667
758,sub-0051099,5.733333333333333
759,sub-0051100,5.533333333333333
760,sub-0051101,5.3
761,sub-0051102,4.866666666666666
762,sub-0051103,5.633333333333334
763,sub-0051104,5.9
764,sub-0051105,5.966666666666667
765,sub-0051106,5.9
766,sub-0051107,5.966666666666667
767,sub-0051108,5.933333333333334
768,sub-0051109,5.533333333333333
769,sub-0051110,5.966666666666667
770,sub-0051111,5.933333333333334
771,sub-0051112,5.9
772,sub-0051113,5.933333333333334
773,sub-0051114,5.966666666666667
774,sub-0051115,5.633333333333334
775,sub-0051116,5.933333333333334
776,sub-0051117,5.933333333333334
777,sub-0051118,4.966666666666667
778,sub-0051119,5.9
779,sub-0051120,5.933333333333334
780,sub-0051121,5.966666666666667
781,sub-0051122,5.533333333333333
782,sub-0051123,4.533333333333333
783,sub-0051124,5.966666666666667
784,sub-0051125,5.966666666666667
785,sub-0051126,5.933333333333334
786,sub-0051127,3.6
787,sub-0051128,5.966666666666667
788,sub-0051129,5.666666666666667
789,sub-0051130,5.5
790,sub-0051131,5.933333333333334
791,sub-0051132,4.766666666666667
792,sub-0051133,4.766666666666667
793,sub-0051134,4.5
794,sub-0051135,4.933333333333334
795,sub-0051136,1.2
796,sub-0051137,4.6
797,sub-0051138,4.9
798,sub-0051139,5.0
799,sub-0051140,4.966666666666667
800,sub-0051141,4.333333333333333
801,sub-0051142,4.8
802,sub-0051146,5.966666666666667
803,sub-0051147,5.966666666666667
804,sub-0051148,5.933333333333334
805,sub-0051149,5.3
806,sub-0051150,3.7333333333333334
807,sub-0051151,5.933333333333334
808,sub-0051152,5.9
809,sub-0051153,5.8
810,sub-0051154,5.766666666666667
811,sub-0051155,5.9
812,sub-0051156,4.9
813,sub-0051159,3.966666666666667
814,sub-0051160,5.233333333333333
815,sub-0051161,2.7333333333333334
816,sub-0051162,6.0
817,sub-0051163,5.466666666666667
818,sub-0051164,5.366666666666666
819,sub-0051165,5.3
820,sub-0051166,2.4
821,sub-0051167,4.6
822,sub-0051168,4.933333333333334
823,sub-0051169,5.2
824,sub-0051170,5.4
825,sub-0051171,5.533333333333333
826,sub-0051172,5.1
827,sub-0051173,5.5
828,sub-0051174,7.433333333333334
829,sub-0051175,4.333333333333333
830,sub-0051176,2.4
831,sub-0051177,5.9
832,sub-0051178,4.566666666666666
833,sub-0051179,4.533333333333333
834,sub-0051180,7.766666666666667
835,sub-0051181,7.4
836,sub-0051182,8.0
837,sub-0051183,6.533333333333333
838,sub-0051184,7.766666666666667
839,sub-0051185,4.233333333333333
840,sub-0051186,4.433333333333334
841,sub-0051187,7.766666666666667
842,sub-0051188,8.0
843,sub-0051189,6.4
844,sub-0051190,7.6
845,sub-0051191,6.766666666666667
846,sub-0051192,7.266666666666667
847,sub-0051193,6.433333333333334
848,sub-0051194,8.0
849,sub-0051195,6.033333333333333
850,sub-0051196,6.7
851,sub-0051197,7.766666666666667
852,sub-0051198,7.966666666666667
853,sub-0051199,6.033333333333333
854,sub-0051201,2.45
855,sub-0051202,3.8
856,sub-0051203,2.3
857,sub-0051204,1.35
858,sub-0051205,5.6
859,sub-0051206,5.55
860,sub-0051207,3.9
861,sub-0051208,4.95
862,sub-0051209,2.65
863,sub-0051210,5.25
864,sub-0051211,4.85
865,sub-0051212,5.1
866,sub-0051214,5.0
867,sub-0051215,4.1
868,sub-0051216,4.6
869,sub-0051217,5.7
870,sub-0051218,5.85
871,sub-0051219,4.6
872,sub-0051220,5.25
873,sub-0051221,5.0
874,sub-0051222,5.65
875,sub-0051223,5.35
876,sub-0051224,5.75
877,sub-0051225,5.1
878,sub-0051226,5.2
879,sub-0051227,2.85
880,sub-0051229,5.85
881,sub-0051230,5.85
882,sub-0051231,4.2
883,sub-0051234,5.95
884,sub-0051235,5.45
885,sub-0051236,3.65
886,sub-0051237,6.0
887,sub-0051238,1.15
888,sub-0051239,4.55
889,sub-0051240,5.6
890,sub-0051241,5.9
891,sub-0051248,5.85
892,sub-0051249,5.55
893,sub-0051250,5.15
894,sub-0051251,4.1
895,sub-0051252,5.55
896,sub-0051253,5.95
897,sub-0051254,5.65
898,sub-0051255,5.55
899,sub-0051256,5.7
900,sub-0051257,5.6
901,sub-0051258,1.25
902,sub-0051259,3.15
903,sub-0051260,5.85
904,sub-0051261,5.1
905,sub-0051262,5.55
906,sub-0051263,4.2
907,sub-0051264,5.5
908,sub-0051265,5.95
